record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
locality,Agra,buy,Baroli Ahir,Independent House,"₹4,463","₹2,777","₹6,944",6,https://housing.com/in/buy/agra/baroli-ahir-gid/,yes,4681,4463,3885,4205,"[[""Apr'25-Jun'25"", 4681], [""July'25-Sept'25"", 3885], [""Oct'25-Dec'25"", 4205], [""Jan'26-Mar'26"", 4463]]"
locality,Agra,buy,Basai,Independent House,"₹4,725",₹904,"₹10,000",5,https://housing.com/in/buy/agra/basai-gid/,no,,,,,null
locality,Agra,buy,Dhandhupura,Independent House,"₹4,725",₹904,"₹10,000",5,https://housing.com/in/buy/agra/dhandhupura-gid/,no,,,,,null
locality,Agra,buy,Shamsabad,Independent House,"₹3,905","₹2,318","₹7,206",5,https://housing.com/in/buy/agra/shamsabad-gid/,yes,6178,3905,5323,4755,"[[""Apr'25-Jun'25"", 6178], [""July'25-Sept'25"", 5323], [""Oct'25-Dec'25"", 4755], [""Jan'26-Mar'26"", 3905]]"
locality,Agra,buy,Dhanauli,Independent House,"₹5,824","₹2,416","₹12,307",5,https://housing.com/in/buy/agra/dhanauli-gid/,yes,,5824,,5316,"[[""Oct'25-Dec'25"", 5316], [""Jan'26-Mar'26"", 5824]]"
locality,Agra,buy,Rohta,Villa,"₹3,547","₹2,806","₹4,320",23,https://housing.com/in/buy/agra/rohta-gid/,yes,2721,3547,3244,3394,"[[""Apr'25-Jun'25"", 2721], [""July'25-Sept'25"", 3244], [""Oct'25-Dec'25"", 3394], [""Jan'26-Mar'26"", 3547]]"
locality,Agra,buy,Tehra,Villa,"₹3,074","₹2,806","₹4,204",20,https://housing.com/in/buy/agra/tehra-gid/,yes,2578,3074,3031,2945,"[[""Apr'25-Jun'25"", 2578], [""July'25-Sept'25"", 3031], [""Oct'25-Dec'25"", 2945], [""Jan'26-Mar'26"", 3074]]"
locality,Agra,buy,Shastripuram,Villa,"₹6,291","₹4,062","₹11,034",13,https://housing.com/in/buy/agra/shastripuram-gid/,yes,5171,6291,5181,5749,"[[""Apr'25-Jun'25"", 5171], [""July'25-Sept'25"", 5181], [""Oct'25-Dec'25"", 5749], [""Jan'26-Mar'26"", 6291]]"
locality,Agra,buy,Shamsabad,Villa,"₹6,304","₹3,684","₹7,351",12,https://housing.com/in/buy/agra/shamsabad-gid/,yes,8997,6304,6673,6509,"[[""Apr'25-Jun'25"", 8997], [""July'25-Sept'25"", 6673], [""Oct'25-Dec'25"", 6509], [""Jan'26-Mar'26"", 6304]]"
locality,Agra,buy,Mohammadpur,Villa,"₹6,124","₹4,062","₹11,034",10,https://housing.com/in/buy/agra/mohammadpur-gid/,yes,4707,6124,5181,5718,"[[""Apr'25-Jun'25"", 4707], [""July'25-Sept'25"", 5181], [""Oct'25-Dec'25"", 5718], [""Jan'26-Mar'26"", 6124]]"
locality,Agra,buy,Itaura,Villa,"₹4,002","₹3,543","₹4,320",10,https://housing.com/in/buy/agra/itaura-gid/,yes,,4002,,3925,"[[""Oct'25-Dec'25"", 3925], [""Jan'26-Mar'26"", 4002]]"
locality,Agra,buy,Kundol,Villa,"₹4,720","₹3,492","₹6,109",9,https://housing.com/in/buy/agra/kundol-gid/,yes,4509,4720,4573,4408,"[[""Apr'25-Jun'25"", 4509], [""July'25-Sept'25"", 4573], [""Oct'25-Dec'25"", 4408], [""Jan'26-Mar'26"", 4720]]"
