record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
locality,New Delhi,rent,Vivek Vihar,3 BHK,"₹46,857","₹35,000","₹65,000",7,https://housing.com/rent/flats-for-rent-in-vivek-vihar-new-delhi-P36rpdxz8p90j0jfm,yes,47000,46857,46071,46292,"[[""Apr'25-Jun'25"", 47000], [""July'25-Sept'25"", 46071], [""Oct'25-Dec'25"", 46292], [""Jan'26-Mar'26"", 46857]]"
locality,New Delhi,rent,Jamia Nagar,3 BHK,"₹25,571","₹6,000","₹60,000",7,https://housing.com/rent/flats-for-rent-in-jamia-nagar-new-delhi-P14ew9lbmhefurro4,yes,40388,25571,34781,30744,"[[""Apr'25-Jun'25"", 40388], [""July'25-Sept'25"", 34781], [""Oct'25-Dec'25"", 30744], [""Jan'26-Mar'26"", 25571]]"
locality,New Delhi,rent,Sector 14 Rohini,3 BHK,"₹43,749","₹27,500","₹65,000",6,https://housing.com/rent/flats-for-rent-in-sector-14-rohini-new-delhi-P41cv3b5bfdyqi9g8,yes,54999,43749,38666,41999,"[[""Apr'25-Jun'25"", 54999], [""July'25-Sept'25"", 38666], [""Oct'25-Dec'25"", 41999], [""Jan'26-Mar'26"", 43749]]"
locality,New Delhi,rent,Jor Bagh,3 BHK,₹4 Lakh,₹3 Lakh,₹6 Lakh,6,https://housing.com/rent/flats-for-rent-in-jor-bagh-new-delhi-P2td5rp18zak61j8x,yes,367500,405833,389742,357333,"[[""Apr'25-Jun'25"", 367500], [""July'25-Sept'25"", 389742], [""Oct'25-Dec'25"", 357333], [""Jan'26-Mar'26"", 405833]]"
locality,New Delhi,rent,Soami Nagar,3 BHK,₹1 Lakh,"₹95,000",₹1 Lakh,6,https://housing.com/rent/flats-for-rent-in-soami-nagar-new-delhi-Pe3l69yt9phvo67c,yes,,122500,,124375,"[[""Oct'25-Dec'25"", 124375], [""Jan'26-Mar'26"", 122500]]"
locality,New Delhi,rent,Fateh Nagar,3 BHK,"₹52,750","₹35,000","₹70,000",6,https://housing.com/rent/flats-for-rent-in-fateh-nagar-new-delhi-P27dahpd1qdp10413,yes,35000,52750,38499,44333,"[[""Apr'25-Jun'25"", 35000], [""July'25-Sept'25"", 38499], [""Oct'25-Dec'25"", 44333], [""Jan'26-Mar'26"", 52750]]"
locality,New Delhi,rent,Sukhdev Vihar,3 BHK,"₹93,666","₹40,000",₹1 Lakh,6,https://housing.com/rent/flats-for-rent-in-sukhdev-vihar-new-delhi-P249iizxrscyk6zw0,yes,99166,93666,79936,86888,"[[""Apr'25-Jun'25"", 99166], [""July'25-Sept'25"", 79936], [""Oct'25-Dec'25"", 86888], [""Jan'26-Mar'26"", 93666]]"
locality,New Delhi,rent,Kalkaji Extension,3 BHK,"₹49,333","₹40,000","₹55,000",6,https://housing.com/rent/flats-for-rent-in-kalkaji-extension-new-delhi-P5n8ijjkq4m4w5aa0,yes,47554,49333,50200,51239,"[[""Apr'25-Jun'25"", 47554], [""July'25-Sept'25"", 50200], [""Oct'25-Dec'25"", 51239], [""Jan'26-Mar'26"", 49333]]"
locality,New Delhi,rent,New Ashok Nagar,3 BHK,"₹25,000","₹15,000","₹35,000",6,https://housing.com/rent/flats-for-rent-in-new-ashok-nagar-new-delhi-P6zb7di1z00fn4rnv,yes,28800,25000,30425,30136,"[[""Apr'25-Jun'25"", 28800], [""July'25-Sept'25"", 30425], [""Oct'25-Dec'25"", 30136], [""Jan'26-Mar'26"", 25000]]"
locality,New Delhi,rent,Kailash Colony,3 BHK,"₹90,833","₹65,000",₹1 Lakh,6,https://housing.com/rent/flats-for-rent-in-kailash-colony-new-delhi-P2igrm6ecuj5x5iru,yes,91333,90833,119000,107384,"[[""Apr'25-Jun'25"", 91333], [""July'25-Sept'25"", 119000], [""Oct'25-Dec'25"", 107384], [""Jan'26-Mar'26"", 90833]]"
