city_name,city_page_url,price_trend_url
amreli_gujarat,https://housing.com/in/buy/real-estate-amreli_gujarat,https://housing.com/price-trends/property-rates-for-buy-in-amreli_gujarat-P38in2995i5mqqkc2
amritsar,https://housing.com/in/buy/real-estate-amritsar,https://housing.com/price-trends/property-rates-for-buy-in-amritsar_punjab-P28bugkqia987y1jk
amroha,https://housing.com/in/buy/real-estate-amroha,https://housing.com/price-trends/property-rates-for-buy-in-amroha_uttar_pradesh-P4o4psgw6pag0d185
anand,https://housing.com/in/buy/real-estate-anand,https://housing.com/price-trends/property-rates-for-buy-in-anand_gujarat-P35andophwsestu5v
anantapur_andhra_pradesh,https://housing.com/in/buy/real-estate-anantapur_andhra_pradesh,https://housing.com/price-trends/property-rates-for-buy-in-anantapur_andhra_pradesh-P1ljl3b7d4jbb3f4m
anantnag,https://housing.com/in/buy/real-estate-anantnag,https://housing.com/price-trends/property-rates-for-buy-in-anantnag_jammu_and_kashmir-P4q1dd2xssjdka8d7
angul,https://housing.com/in/buy/real-estate-angul,https://housing.com/price-trends/property-rates-for-buy-in-angul_odisha-P6th4thqrbl00c1w7
anjaw,https://housing.com/in/buy/real-estate-anjaw,https://housing.com/price-trends/property-rates-for-buy-in-anjaw_arunachal_pradesh-P2ft0gcg89swyd4ov
ankleshwar,https://housing.com/in/buy/real-estate-ankleshwar,https://housing.com/price-trends/property-rates-for-buy-in-ankleshwar_gujarat-P475j0ph4o1nf0omi
anuppur_madhya_pradesh,https://housing.com/in/buy/real-estate-anuppur_madhya_pradesh,https://housing.com/price-trends/property-rates-for-buy-in-anuppur_madhya_pradesh-P5p6mrj0pi0zjmsuq
araria,https://housing.com/in/buy/real-estate-araria,https://housing.com/price-trends/property-rates-for-buy-in-araria_bihar-P2t5xnkxkwr16riq1
aravalli,https://housing.com/in/buy/real-estate-aravalli,https://housing.com/price-trends/property-rates-for-buy-in-aravalli_gujarat-P3yqyd5cbh7b25hbe
ariyalur,https://housing.com/in/buy/real-estate-ariyalur,https://housing.com/price-trends/property-rates-for-buy-in-ariyalur_tamil_nadu-Pkkoelm20ny8pt5s
arrah,https://housing.com/in/buy/real-estate-arrah,https://housing.com/price-trends/property-rates-for-buy-in-arrah_bihar-P6r3wq3u83e7b2mpb
